text,label,text_en,text_hi,text_bn,text_mr,text_te,text_ta,text_gu,text_ur,text_kn,text_or,text_ml
The road is a challenge that we have to overcome.,potholes,The road is a challenge that we have to overcome.,मार्ग एक चुनौती है जिस पर हमें विजय पाना है ।,( યશા.,(ख) या लेखात आपण कोणत्या प्रश् नांवर चर्चा करणार आहोत?,ರಸ್ತೆಯು ನಾವು ಜಯಿಸಬೇಕಾದ ಒಂದು ಪಂಥಾಹ್ವಾನವಾಗಿದೆ.,ರಸ್ತೆಯು ನಾವು ಜಯಿಸಬೇಕಾದ ಒಂದು ಪಂಥಾಹ್ವಾನವಾಗಿದೆ.,( યશા.,یہ راستہ ایک چیلنج ہے جس پر غالب آنا ہمارے لئے مشکل ہے ۔,ರಸ್ತೆಯು ನಾವು ಜಯಿಸಬೇಕಾದ ಒಂದು ಪಂಥಾಹ್ವಾನವಾಗಿದೆ.,( યશા.,നമ്മൾ ജയിക്കേണ്ട ഒരു വെല്ലുവിളിയാണ് റോഡ്.
The streetlight is a way to foster a sense of belonging.,streetlight,The streetlight is a way to foster a sense of belonging.,सड़क की रोशनी लोगों की समझ बढ़ाने का एक तरीका है ।,▪ ▪ ▪ (w13 - E 02 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],सा. यु. पू.,"వీధుల వెలుగు, తమకు చెందినవారమనే భావాన్ని పెంచుకోవడానికి ఒక మార్గం.","వీధుల వెలుగు, తమకు చెందినవారమనే భావాన్ని పెంచుకోవడానికి ఒక మార్గం.",▪ ▪ ▪ (w13 - E 02 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],اِس کی وجہ یہ ہے کہ اُن کے گھر والے اُن کے ساتھ بات‌چیت کرتے ہیں ۔,"వీధుల వెలుగు, తమకు చెందినవారమనే భావాన్ని పెంచుకోవడానికి ఒక మార్గం.",▪ ▪ ▪ (w13 - E 02 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],അതിന്റെ ഉടമസ്ഥന്റെ ബോധം പരിപോഷിപ്പിക്കാനുള്ള ഒരു മാർഗമാണ് തെരുവ് ലൈറ്റ് .
The light is making a strange buzzing sound.,streetlight,The light is making a strange buzzing sound.,प्रकाश एक अजीब आवाज़ बना रहा है.,उजियाला एक अजीब बाजिंग آواز बन रही है.,विचित्र आवाज आहे.,ಬೆಳಕು ಒಂದು ವಿಚಿತ್ರವಾದ ಧ್ವನಿಯನ್ನು ಉಂಟುಮಾಡುತ್ತಿದೆ.,ಬೆಳಕು ಒಂದು ವಿಚಿತ್ರವಾದ ಧ್ವನಿಯನ್ನು ಉಂಟುಮಾಡುತ್ತಿದೆ.,उजियाला एक अजीब बाजिंग آواز बन रही है.,روشنی ایک حیرت‌انگیز آواز بن رہی ہے ۔,ಬೆಳಕು ಒಂದು ವಿಚಿತ್ರವಾದ ಧ್ವನಿಯನ್ನು ಉಂಟುಮಾಡುತ್ತಿದೆ.,उजियाला एक अजीब बाजिंग آواز बन रही है.,ഈ വെളിച്ചം അവിശ്വസനീയമായ ശബ്ദമാണ് ഉണ്ടാക്കുന്നത്.
The streetlight is a service that should be provided to all.,streetlight,The streetlight is a service that should be provided to all.,सड़क की रोशनी एक ऐसी सेवा है जिसे सभी को दिया जाना चाहिए ।,"सड़क प्रकाश, एक ऐसी सेवा है जो सभी को दी जानी चाहिए ।",हे काम अतिशय महत्त्वाचे आहे.,స్ట్రీట్‌ లైట్‌ అందరికీ ఇవ్వాల్సిన ఒక సేవ.,స్ట్రీట్‌ లైట్‌ అందరికీ ఇవ్వాల్సిన ఒక సేవ.,"सड़क प्रकाश, एक ऐसी सेवा है जो सभी को दी जानी चाहिए ।",گلی‌کوچوں ایک ایسی خدمت ہے جسے سب کیلئے فراہم کِیا جانا چاہئے ۔,స్ట్రీట్‌ లైట్‌ అందరికీ ఇవ్వాల్సిన ఒక సేవ.,"सड़क प्रकाश, एक ऐसी सेवा है जो सभी को दी जानी चाहिए ।",എല്ലാവർക്കും നൽകുന്ന ഒരു സേവനമാണ് തെരുവ് ലൈറ്റ് .
No cleaning.,garbage,No cleaning.,नहीं सफाई.,ਸਫ਼ਾਈ नहीं.,दूध पिऊ नका.,ಶುದ್ಧವಾಗಿಡಲು ಯಾವುದೇ ಸ್ಥಳವಿಲ್ಲ.,ಶುದ್ಧವಾಗಿಡಲು ಯಾವುದೇ ಸ್ಥಳವಿಲ್ಲ.,ਸਫ਼ਾਈ नहीं.,کوئی صفائی نہیں.,ಶುದ್ಧವಾಗಿಡಲು ಯಾವುದೇ ಸ್ಥಳವಿಲ್ಲ.,ਸਫ਼ਾਈ नहीं.,വൃത്തിയാക്കരുത്.
The garbage is a sculpture that we have to be the first journey of.,garbage,The garbage is a sculpture that we have to be the first journey of.,कचरा एक मूर्ति है जो हमें सबसे पहले यात्रा करनी है ।,कचरा ही एक मूर्ती है जिसे ہمیں प्रथम سفر होना पड़ेगा.,आता आम्ही मातीच्या भांड्याप्रमाणे आहोत.,"ಕಸ, ನಾವು ആദ്യ ಪ್ರಯಾಣವಾಗಿ ಮಾಡಬೇಕಾದ ಒಂದು ಶಿಲ್ಪಕಲಾಕೃತಿ.","ಕಸ, ನಾವು ആദ്യ ಪ್ರಯಾಣವಾಗಿ ಮಾಡಬೇಕಾದ ಒಂದು ಶಿಲ್ಪಕಲಾಕೃತಿ.",कचरा ही एक मूर्ती है जिसे ہمیں प्रथम سفر होना पड़ेगा.,ہْμéہج ́آ °إ3⁄4ك 3⁄4ئ ́آ °إ3⁄4ك,"ಕಸ, ನಾವು ആദ്യ ಪ್ರಯಾಣವಾಗಿ ಮಾಡಬೇಕಾದ ಒಂದು ಶಿಲ್ಪಕಲಾಕೃತಿ.",कचरा ही एक मूर्ती है जिसे ہمیں प्रथम سفر होना पड़ेगा.,ചപ്പുചവറുകൾ ഒരു ശിൽപ്പമാണ്. നമുക്ക് ആദ്യ യാത്രയാകണം.
The municipal corporation is not doing its job.,others,The municipal corporation is not doing its job.,प्रशासनिक निगम अपना काम नहीं कर रहा है.,नगरपालिक निगम अपनी नौकरी नहीं कर रहा है.,कंपनी समर्थीत नाही.,శ. పూ.,శ. పూ.,नगरपालिक निगम अपनी नौकरी नहीं कर रहा है.,کارپوریشن کارپوریشن اپنا کام نہیں کر رہی ہے ۔,శ. పూ.,नगरपालिक निगम अपनी नौकरी नहीं कर रहा है.,മുനിസിപ്പാലിറ്റി കോർപ്പറേഷൻ അതിന്റെ ജോലി ചെയ്യുന്നില്ല.
Gali ke batti kab theek hogi?,streetlight,Gali ke batti kab theek hogi?,गली बल्ला बाबी?,Galika batti Kab ek Hogi?,सा. यु. पू.,ഗാലി കേ വാட்டி കാബ് okie hoki?,ഗാലി കേ വാட்டி കാബ് okie hoki?,Galika batti Kab ek Hogi?,کیا یہ خالق کی کاریگری ہے ؟,ഗാലി കേ വാட்டி കാബ് okie hoki?,Galika batti Kab ek Hogi?,ഗാലി ടീം ബാറ്റീ കെബ് ഹോജി?
Dangerous pothole.,potholes,Dangerous pothole.,खतरनाक शौचालय.,ਖ਼ਤਰਨਾਕ षड्यंत्र.,सापावर क्लिक कर.,அபாயகரமான కుండ.,அபாயகரமான కుండ.,ਖ਼ਤਰਨਾਕ षड्यंत्र.,آرام سے.,அபாயகரமான కుండ.,ਖ਼ਤਰਨਾਕ षड्यंत्र.,അപകടകാരികൾ.
This is not a road,potholes,This is not a road,यह मार्ग नहीं है,اور وہ (کبھی) کسی راہ کا نہیں ہے،,हा रस्ता परिणामकारक नाही,ఇది ರಸ್ತೆ ಅಲ್ಲ,ఇది ರಸ್ತೆ ಅಲ್ಲ,اور وہ (کبھی) کسی راہ کا نہیں ہے،,یہ بستی ایسی راه پر نہیں ہے جو اب تک پہنچنے والی نہیں,ఇది ರಸ್ತೆ ಅಲ್ಲ,اور وہ (کبھی) کسی راہ کا نہیں ہے،,ഇതൊരു റോഡല്ല.
